sentence	label
深圳机场５月旅客吞吐量仍下滑41.05%，机场股复苏仍有待时日	负面
海信视像：目前公司的社交电视产品已实现了边看边聊 六路视频通话等社交功能 可以与移动端进行互动	正面
中国石化化销福建公司乙二醇自营量创新高	中性
REITs联盟秘书长王刚：REITs投资有N条赛道	中性
浦发银行南市支行被罚50万：同业投资投后管理严重不审慎	负面
北京万东医疗科技股份有限公司2019年年度股东大会决议公告	中性
福建高速(600033)：公路恢复收费 但负面因素尚存	负面
长三角：潮涌江海一年间	中性
早知道：国常会部署加快信息网络等新型基础设施建设；5月6日零时起恢复全国收费公路收费	正面
平稳过渡还是血雨腥风？外资入主遇阻力，这家机构人事变动已启幕！下一步如何演变？	中性
“国家队”一季度大幅增仓12股 上海电力、万科A在列	正面
股海导航 3月31日沪深股市公告提示	中性
国办印发意见：鼓励外贸企业利用直播带货对接消费需求	中性
7月金融股股东继续无奈增持，前期涨幅过大牛股减持公告不断！	负面
军工股延续强劲，航天机电、航发科技、北斗星通、振芯科技等涨停	正面
国际航班逐步转向“一国一策” 登机前检测核酸具体实施时间未定	中性
中国国贸(600007)：2019年盈利料稳增 2020年收入、盈利受疫情影响双承压	负面
旅企备战“反弹行情” “云旅游”替补上线	中性
定增对象等一改到底:高瓴不再包揽 凯莱英23亿融资案有何玄机？	中性
宁波联合集团股份有限公司关于收到中国证监会不予核准公司发行股份购买资产决定的公告	负面
风险偏好能否持续强化？——天风总量联席解读	中性
宁波联合（600051）龙虎榜数据（04-29）	中性
业绩为王 这批公司半年报超预期（名单）	正面
福建高速2020年第一季度报告正文新浪财经	中性
南京高科公司调研简报：创投隐含价值大，立足“医疗健康”持续拓展	中性
武汉股票暴涨 十余只股票涨停	正面
北京佰仁医疗科技股份有限公司	中性
厦门象屿：累计回购1371.77万股公司股份 已支付7851.89万元	中性
上海浦东发展银行南市支行因投资投后管理严重不审慎 被罚50万元	负面
中钢协：全球钢市震荡分化走势趋强	中性
175天后 电影院重启	正面
青岛国恩科技股份有限公司2020年第一次临时股东大会决议公告	中性
五矿发展股份有限公司2019年第二次临时股东大会决议公告	中性
地面下隐藏的真相	中性
7月16日晚间上市公司十大重磅公告	中性
新城控股大跌5.11%，房地产开发行业跌3.12%	负面
国网英大股份有限公司第七届董事会第十九次会议决议公告	中性
厦门象屿发布2020年半年报：上半年净利润同比增长18.11%	正面
浙江广厦股份有限公司关于对外担保的公告	中性
东部最大储气库已储备天然气超10亿方	正面
昆吾九鼎投资控股股份有限公司	中性
养老金重仓增持50只流通股 加仓股云内动力涨幅128%	正面
中远海能旗下公司签署LNG运输项目造船合同及租船合同 3艘船舶总价约为5.54亿美元	中性
今日能源看点：内蒙古能源局发布风电“区域限批”令！大唐发电：副董事长王森辞职！	负面
盘后公告集锦|乐视退称尚未收到贾跃亭赔偿安排 威华股份与宁德时代签订长协合同	中性
冠城大通：公司旗下北京海淀科技园建设股份有限公司主要开发位于北京的冠城大通百旺府及西北旺新村项目	中性
长江电力再度开启“买买买”模式，能否敲响“伦敦钟”	中性
郑州宇通客车股份有限公司2020年5月份产销数据快报	中性
安徽皖维高新材料股份有限公司2019年年度业绩预增公告	中性
做差价能赚多少钱？来看看苏南帮操盘记录	中性
三峡系再出手 上海环境获长江环保集团及三峡资本举牌	正面
国投资本大跌	负面
华夏银行股份有限公司关于副董事长任职资格获中国银保监会核准的公告	中性
上海机场现2笔大宗交易 共成交1,077.09万元	正面
疯狂的“长寿药”	中性
上港集团大宗交易成交846万元 买方为机构专用席位	中性
黄山旅游(600054)季报点评：Q1进山人数-81% 国内游需求旺盛助力客流恢复__新浪财经_新浪网	正面
乐视开机广告不可关闭 江苏第三起消费公益诉讼正式开庭	中性
白云机场：若定增募资到位 未来3年拟分红不少于40%可分配利润	正面
古越龙山半年内三度换帅	负面
上海机场专题报告：庖丁解牛系列（二）：卫星厅带给广告的变化	中性
湖北省委书记与中远海运、上港集团董事长座谈，共同打造中部地区枢纽港	正面
武汉明德生物科技股份有限公司关于使用部分闲置自有资金购买理财产品的公告	中性
RCS集体暴涨 带动创业板强势反弹	正面
黄山旅游2019年接待人次再创新高 “山水村窟”战略初步落地	正面
【公告抢先看】晚间重要公告：航天机电称未从事军品业务、工业富联上半年净利润50.41亿元……	中性
浙江广厦股份有限公司关于对外担保事项的公告	中性
重庆市长唐良智会见中国石化董事长张玉卓一行	中性
冠城大通拟发行17.3亿元公司债券 利率询价区间为6.5%-7.5%	中性
【异动股】旅游酒店板块，岭南控股(000524-CN)涨停	正面
广电巨头来袭转债飙涨30%：5G生态圈建设可期	正面
中闽能源股份有限公司	中性
国资股东拟转让不超17.5 %股份绿地控股新一轮混改启幕	正面
安徽皖通高速公路与安徽高速联网运营续订新联网服务协议	中性
白云机场大涨	正面
安信证券--建设机械：地产景气度高企 装配式建筑兴起扩大成长空间	正面
【公告抢先看】晚间重要公告：农业银行拟80亿元参与投资国家绿色发展基金、社保基金会减持交通银行3.95亿股	正面
恒瑞增速放缓背后：医药首富夫妻的路径依赖	负面
陕西盘龙药业集团股份有限公司关于持股5%以上股东及其一致行动人股份减持计划实施完毕的公告	中性
华润双鹤药业股份有限公司2020年第一次临时股东大会会议决议公告	中性
上海电力股份有限公司2020年度第十二期超短期融资券发行结果公告	中性
【军工-冯福章】军工年报、一季报综述：后疫情时期的稳健增长	正面
安徽蓝盾光电子股份有限公司首次公开发行股票并在创业板上市网下发行初步配售结果公告	中性
山钢集团入榜《财富》世界500强，果然很“硬核”	正面
国联安价值优选股票净值上涨2.30% 请保持关注	正面
黄山旅游去年净利降四成，游客量增幅止跌回升	正面
沈彬：砥砺进取笃行致远 坚定不移走好高质量发展之路	中性
三一重工控股股东拟发行可交债点评：优化资产结构、紧抓智能制造战略机遇	中性
暴风冯鑫行贿420万坐牢背后：光大证券子公司赔招行31亿，前员工洗走1个亿！	负面
浙能电力：前三季度净利润同比下降3.39%	负面
安全便利免排队！疫情下美国私人飞机生意急剧增长	正面
五矿发展股份有限公司2019年第三次临时股东大会决议公告	中性
增量扩面提质降本：银行业多点发力保市场主体	正面
中信建投：电力行业盈利好转 汛期水电出力有望提升	正面
三一重工现1笔大宗交易 共成交971.04万元	中性
山东钢铁回购最新进度！已回购2.26亿股	中性
考试挂科、资历不够、或存故意犯罪记录	负面
上海机场(600009)：6月国内线复苏持续 中报业绩或承压	正面
【南华基金·杭州湾区】19项重大合作事项签约，助力长三角一体化	正面
山东钢铁：回购股份比例达到1% 耗资1.59亿元	中性
首创股份：公司为全资子公司首创香港提供担保	负面
国资委推动中央企业决战扶贫“三区三州”深度贫困堡垒	正面
北汽定增 东风回A 传统车企逐鹿高端新能源汽车市场	正面
【天风Morning Call】晨会集萃20200317	中性
中国电信和中国联通正在共建共享5G无线接入网	中性
安徽皖通高速(00995-HK)副总经理辞任及更换总经理	中性
民生银行天津分行开展多场跨行业活动 提升服务品质	中性
冠城大通：公司为全资子公司冠城汇泰提供担保	中性
九鼎投资股东中江集团质押1亿股 用于偿还债务	负面
四川路桥：拟向控股股东定增募资45亿元	正面
开启家庭院线新时代 海信发布首款100英寸影院级全色激光电视	正面
中原高速(600020.SH)：子公司明开公司工商注销工作已办理完毕	中性
纯电新能源+柴油国六 宇通推出T7系列叫板考斯特	中性
杨青出任东风汽车集团董事！	中性
神州数码信息服务股份有限公司关于为子公司提供担保的进展公告	中性
万集科技：宇通客车郑州无人驾驶公交车主要使用公司提供的车载多线激光雷达产品	中性
南方基金关于开展直销柜台渠道部分基金赎回费率优惠活动的公告	中性
慧捷科技科创板IPO终止审核 今年已有11家企业主动撤单	中性
地产股收盘丨三大指数开盘涨跌不一 京汉股份涨停	中性
摩根士丹利将华能水电评级上调至超配，目标价为4.50元人民币	正面
上海电力股东长江电力增持1%公司股权	中性
宇通大客大涨91% 整体销量连续三个月环比正增长	正面
高瓴斥资百亿认购宁德时代 本田也携37亿重金入股	中性
量化｜模型判断当前处于经济上行周期，上游板块或存在超额收益机会：配置组合动态8月更新	正面
宁波联合重组事项上会 22日停牌	中性
中怡康：海信电视零售额居行业首位 80吋+大屏占比超40%	正面
浙江浙能电力股份有限公司2019年第三季度报告正文	中性
万东医疗：抗疫产品销量增长 一季度净利同比增787%	正面
8月10日你要知道的8条股市消息	中性
净值产品加速入场 理性看待收益波动	中性
中国银行业理财市场报告出炉，市场发生了哪些变化？	中性
分散染料价格大涨 概念股市盈率整体偏低	中性
电力｜短期电量受疫情拖累，中期配置价值浮现：1-2月电力统计数据点评	中性
万东医疗：第二大股东俞熔拟减持不超过2%。	负面
上海银行两家主要股东解禁限售股合计3.4亿股 占总股本2.35%	中性
公告精选：惠而浦称不涉及C2M业务；大基金完成减持兆易创新计划	中性
产业观察：空调能效新国标实施将加速企业技术创新	正面
中钢协副会长屈秀丽：如何看铁矿石的人民币计价贸易？	中性
财经早报：上半年GDP增速16个省份正增长 外围资金入市忙	正面
中远海能(01138.HK)获GIC Private增持240万股	正面
午评：A股三大股指早盘窄幅震荡 海南板块涨幅超7%	正面
安徽皖通高速公路(00995.HK)委任董事长	中性
中国国贸(600007.SH)：董事会通过关于对公司长期借款进行重组的议案	中性
财经早报：格力实施史上首次回购 千亿资金正等着建仓	正面
韩孝捷总裁一行视察北京太阳星城项目公司	中性
中直股份：营收增速加快，生产备货充足	正面
油价暴跌 中远海能、招商轮船上半年净利却剧增近5倍	正面
电力央企港股新能源公司私有化：一场不能再等的估值重塑行动	中性
上海电力(600021.SH)：购买KE公司股份事项正履行相关程序 尚未完成交割	中性
上海港集装箱吞吐量创新高	正面
浦发资管部副总经理张文桥：明年年底前有效转化存量资产是巨大挑战	中性
万通液压25%资产负债率背后：受限资产大幅增长 三份年报前后不一	负面
【华创交运*深度】机场商业业态具备极高流量变现价值，长期看仍将是重要免税销售渠道——上海机场长期价值探讨	正面
新泉股份二季度净利同比增长71% 合作特斯拉	正面
黄酒集团人事变动：钱肖华卸任党委书记 孙爱保接任	中性
券商股再度走，财通证券拉升封板，第一创业、国投资本、太平洋等	正面
银行股单日成交额猛增近九成 连涨过后破净比例仍达75%	正面
恒瑞医药上半年利润26.6亿 刚经历4位高管集体离职	负面
仅仅时隔一周，港口焦炭库存重现升势	中性
东风汽车股份21周年庆生 发布轻型车补贴2.0计划	正面
股海导航 7月7日沪深股市公告提示	中性
周二上市公司晚间重要公告（更新中）	中性
华润双鹤：维格列汀片获药品注册批件	正面
B股公司自救路在何方	中性
中信建投市值再超中信成券商第一 合并传闻澄清后市场热度不减	正面
冠城大通股份有限公司第十一届董事会第四次（临时）会议决议公告	中性
“2万游客扎堆”事件后 黄山风景区实行实名预约	中性
葛洲坝(600068.SH)公开发行可续债注册申请获中国证监会同意批复	正面
10倍大牛股爆炸！新进展：2人死亡，厂区停产！这些“代替”股大涨，行业要变天？	负面
石墨烯材料再迎重大突破 多家上市公司布局（名单）	中性
中原高速短期融资券发行 总额为10亿元	中性
虹桥机场实施常态化卫生防疫标准 消毒机器人上岗	正面
券商晨会精华：苹果产业链迎高确定性，看好一二线消费电子白马	中性
3月26日上市公司晚间公告速递	中性
成都银行、华夏银行成都分行因涉多项违法行为被处罚	负面
警惕！超2500亿解禁将至，两大芯片迎重大考验，十倍牛股赫然在列，7股解禁比超五成（名单）	中性
【天风地产】数据均大幅改善、竣工单月增速如期转正——统计局5月数据点评	正面
河南省第一批产教融合型企业入库培育公示名单出炉：25家企业上榜	中性
鲁股观察 | 5月29日：奥福环保强势涨停，今日120只个股上涨	正面
3月31日你要知道的 8 个股市消息	中性
集团股权无偿划转获批 日照港实控人即将变更	中性
早间公告|乐视网2019年度预亏近113亿元	负面
多举措促消费回升 推动商品优化升级	正面
四部门：持续推进农业水价综合改革 今年新增改革实施面积1.1亿亩以上	正面
首创股份对外投资新建一座生活污水处理厂 总投资为2.55亿元	正面
首创股份2020年一季度净利1.18亿同比增长1.76%	正面
武汉东湖高新集团股份有限公司	中性
银行股大涨国资提前布局 已从二级市场增持了这四只股票	正面
黄酒老大的自我救赎	中性
三大航公布8月国际航班计划 东航南航均有调整	中性
宇通重工注入ST宏盛助力业务转型 董监高增持力挺	正面
1-7我国进口钢材同比增加49.3%	中性
确定性机会来了 这些行业个股季报中报业绩亮眼！增长能否持续？借“基”布局该怎么选？	中性
厦门象屿(600057.SH)：完成2020年度第十一期超短期融资券发行	正面
427家公司上半年净利达1483亿元 速食类消费、可穿戴设备及远程办公等领域表现突出	正面
福建高速2019年上半年净利4.47亿 车流量出现较大幅度增长	正面
【天风Morning Call】晨会集萃20200703	中性
钢铁板块或迎来估值修复行情 5.88亿元资金月内快速加仓15只个股	中性
新能源车板块再迎风口！机构关注产业链细分龙头 如何借“基”上车？	中性
早间公告|力帆股份债权人向法院申请对公司进行重整	中性
券商股尾盘暴拉原因找到了！逾10家公司7月业绩同比增速超100%	正面
皖通高速董事长乔传福辞职	中性
工信部部长苗圩调研疫情防控物流运输保障和医疗装备生产企业复工	中性
万通液压闯关新三板精选层：3份年报数据“前后不一”	负面
武汉增开航班航线迎暑运高峰	中性
厦门象屿：上半年净利同比增长18.11% 全方位服务制造业供应链	正面
新基金又炸了：易方达张坤产品一天卖350亿 一日售罄爆款大轰炸	正面
上个月还在维稳股价现在高管要减持了！银行股收复“失地”增持的股东高管们赚了多少	中性
中国石化2020年进口LNG总量突破千万吨	中性
中直股份(600038)年报点评：营收增速加快，生产备货充足	正面
央行定调下半年货币政策 今日两股成市场关注焦点	中性
白云机场：大股东推配套政策持续支持上市公司	正面
自动驾驶的“蛋糕”有多香	中性
上海银保监局开出两张罚单 指向资金流向、薪酬管理等违规事由	负面
黄山旅游财报：2019年黄山旅游净利3.40亿元 同比下降41.60%	负面
过会审议 古越龙山董事会选举孙爱保为董事长	中性
国金证券--机械行业：挖掘机 预计7月销量增速超60% 全年超25%	中性
中原高速：上半年重点治理逃漏费行为 通行费收入25.76亿元	中性
2020年1-7月中国房地产企业销售TOP100 ·观点月度指数	中性
北京首创股份有限公司2019年年度股东大会决议公告	中性
华能国际电力股份有限公司第十届董事会第二次会议决议公告	中性
中直股份(600038)：我国直升机龙头 新机型推动公司进入发展新阶段	正面
新华三集团与甘肃联通签署战略合作协议	正面
百亿级私募最新重仓股曝光：冯柳、邓晓峰、王亚伟买了这些票	中性
全国一网！中国广电会成为中国的康卡斯特？	中性
中信证券：治理改善叠加周期向上，电力增配窗口打开	中性
东阿阿胶股份有限公司第九届董事会第十三次会议决议公告	中性
南航首架国产ARJ21飞机投运	中性
从基金持仓变化看家电细分板块未来	中性
28岁B股市场 过气网红的 “红”与“黄”	中性
券商股尾盘暴拉原因找到：16家上市券商中 13家7月业绩同比翻倍	正面
快讯｜8月3日上指高开0.67% 房地产板块高开0.64%	正面
宁波联合并购被否，标的带来的负债比权益高七成	负面
数码科技：中标歌华有线2020年度复用加扰器采购项目	中性
歌华有线公告揭开中国广电面纱 全国广电5G一盘棋格局初现	中性
【天风地产】Q2单季销售金额创近年来新高、累计投资增速转正——统计局6月数据点评	正面
昆吾九鼎投资控股股份有限公司 2020年上半年度私募股权投资管理业务经营情况简报	中性
港股异动 | 华能国际(00902)升逾7%领涨电力股 天风证券称电力板块基本面边际改善加速	正面
雨过天晴，高速公路恢复收费	中性
三一自主攻关研发的4000吨履带起重机成功首吊	正面
东风逐鹿高端新能源汽车市场	正面
上海电力高压实业有限公司为港区安全供电提供双重保障	中性
铁路货运跑出加速度：7月日均装车量、中欧班列开行量创新高	正面
国税：包钢房地产开发公司非法取得增值税进项发票19份 依法移送司法机关	负面
试水项目被否 地产IPO借道海外屡遭搁置	负面
中国银河--百强房企7月销售数据点评：7月销售持续改善 市场需求凸显韧性	中性
大地熊熊永飞：醉心“磁王” 拓土开疆	中性
民生证券：创投基金减持边际放松，关注创投概念股交易性机会	中性
浙江广厦股份有限公司关于股票交易异常波动的公告	中性
山东钢铁(SH600022)：监事杨再昌辞职	中性
蓝光发展：为浙江宝业8000万元商票贴现债务提供担保	中性
山东港口与日照港城融合项目开工，涉物流、产业园区、邮轮文旅	正面
信达证券--原油开采行业每周油气：美国原油生产商最大规模资产减记	中性
12宗罪 浦发银行收2100万元巨额罚单	负面
"""五一""旅游或现补偿性消费？评论：安全出行最重要"	中性
5G巨无霸来了 广电股份已向国家市场监督管理总局申报登记	正面
业绩承压引入战投，古越龙山业绩翻番靠什么？	中性
国盛证券--建筑装饰行业专题研究：建筑央企：牛市进攻急先锋 低估值宽政策潜力大	中性
东风汽车将回归A股上市，为高端新能源品牌募集资金	中性
海信家电集团股份有限公司H股公告-认购理财产品	中性
一季度电企发电量分化 机构看好火电股估值修复	正面
环境行业进入新产业周期 首创股份精细化“耕耘”践行“生态+”战略	正面
三峡、葛洲坝等四座水电站共82台机组，今年首次全开运行	中性
"东风汽车新能源""岚图""引争议：被疑""表面科技公司"""	负面
盘后公告集锦 | 平安银行一季度净利润85.48亿元，四维图新参股公司拟引入腾讯	正面
公告速递：飞天诚信等披露定增预案 古越龙山拟引入两战投	正面
上海机场获沪股通连续3日净买入 累计净买入3.96亿元	正面
北京空港科技园区股份有限公司第七届董事会第二次会议决议公告	中性
涨停板复盘：四月收官指数大涨 科技题材强势反弹	正面
北京首创股份有限公司2020年第二次临时股东大会决议公告	中性
沪杭甬(00576.HK)伙江苏宁沪(00177.HK)等收购土耳其公路51%	正面
财经早报：国务院40条新政支持集成电路 4新股今日申购	中性
黄光裕假释出狱：国美系股价大涨 一文看懂黄光裕的商业版图	正面
二季度包钢股份交出满意答卷	正面
山东钢铁：已耗资2.1亿元回购1.46%股份	中性
香港交易所与中国药促会探讨全球疫情下香港资本市场新机遇	中性
厦门象屿股份有限公司	中性
包钢6月中旬建筑钢材价格政策	中性
提气！宇通T7家族再添新丁	中性
海信发布100英寸影院级全色激光电视	中性
下周解禁压力环比大增 邮储银行破发网下打新机构无奈被套	负面
上港集团(600018.SH)：成功发行10亿美元债券	正面
宝钢股份：控股股东中国宝武全资下属子公司华宝投资自2月4日至	中性
卸任！华润双鹤：董事范彦喜辞职	中性
华能国际年报遭问：计提资产减值59亿 发电量下降	负面
【异动股】免税概念板块高开，XD王府井(600859-CN)涨停	正面
中国中药(00570)拟成立合资公司 建设国家医疗医药应急保障体系互联网平台公司	正面
Mysteel：钢铁产业链一周核心数据概览（6月8日-6月12日）	中性
全球告急！但这家中国企业的订单暴增：从1年仅卖10多台到1月50多台！咋做到的？	正面
楚天高速(600035.SH)完成发行10亿元超短期融资券	正面
完美世界、上港集团等20股遭重要股东减持超亿元	负面
皖维高新(600063)业绩预告大增，新材料值得期待	正面
【机会】制裁洛马叠加基本面改善 稀土战再起？	中性
浙江广厦股份有限公司关于公司股东所持股份冻结的公告	负面
年内银行发行二级资本债超1900亿元	中性
首创股份：归还3亿元用于补充流动资金的闲置募集资金	中性
浙能电力2月3日盘中跌停	负面
港股收盘(6.9)|恒指收涨1.13%重返二万五千点 九龙仓置业(01997)领涨蓝筹	正面
3大自贸试验区方案才出炉 多家上市公司布局（附股）	中性
东风轻卡前7月实销8.6万辆 增17％！凯普特/多利卡/途逸 谁涨最多？	正面
氢燃料电池产业链迎黄金十年 长三角这条“氢走廊”怎么走	中性
抢滩登陆高端制剂：中国医药创新的诺曼底	中性
工信部：新能源汽车自燃率比传统汽车低	中性
绿地按下改革加速键：两国资股东转让17.5%股份	正面
5月锂电数据分析：5月新能源汽车产量微增装机量环比下滑	中性
机会情报：重大水利工程开工建设被重视 投资拉动作用有望增长	正面
河南中原高速公路股份有限公司关于公司优先股股票终止挂牌的公告	中性
白云机场(600004)：三期扩建即将开工 免税决定长期价值	正面
保利发展前7月签约金额2731.5亿 近期新增9宗地块	中性
安徽皖通高速公路(00995)以5000万元购买九江银行理财产品	中性
[公司]四川路桥：3.45亿股接受要约 公司股票4月8日开市起复牌	中性
首创股份(SH600008)2020年半年度业绩预增25%-35%	正面
热烈祝贺山猫S750滑移装载机加入阿坝公路械设备战队	中性
保利发展控股集团股份有限公司2020年7月份销售情况简报	中性
冠城大通：下属控股公司大通新材与江苏大通互相提供担保	中性
林园最新演讲：现在是牛市初期，套不住人	中性
利空出尽？负增长“靴子”刚落地，银行股就放量大涨！破净率高达75%，资金开始抢筹	正面
华能国际(00902-HK)首季少赚22%至20.6亿人民币	负面
A股三大股指集体收跌 万科A涨3.82%	负面
皖维高新：公司业务中没有卫生防护用品 聚乙烯醇纤维不用于军用防爆	中性
涉违规担保等“十二宗罪”！浦发银行收2100万元巨额罚单	负面
5家百亿元级私募二季度重仓股现身 布局15只个股持有市值逾20亿元	正面
中原高速(600020.SH)：拟申请注册发行不超22亿元长期限含权中期票据	中性
日照港裕廊(06117.HK)大涨32% 日照港集团100%股权划入山东省港口集团获批	正面
公募基金持银行股比例降至历史次低	负面
“金花”难现，防御尚存	中性
古越龙山盈投控股再合作，发扬传统文化扩产能	中性
四川联通在大凉山的精准扶贫之路纪实 悬崖村建基站之难只是缩影	中性
7月10日上市公司晚间公告速递	中性
A股明日风口：三部委下发通知提高生猪贷款风险容忍度	中性
宁波联合(600051.SH)：追加热电公司水煤浆业务交易额度至8600万元	正面
晚间公告|金地集团:上半年签约金额1016.3亿元 同比上升18.73%	正面
中国医药健康产业股份有限公司 关于子公司获得药品注册批件的公告	中性
锰硅期货主力合约涨逾2%	正面
格隆汇港股聚焦(6.08)︱信义光能中期纯利预增35%-50% 中国抗体SM03预期明年底商业化__财经头条	正面
南航(01055-HK)6月旅客周转量降53%	负面
地产股收盘丨创业板指收涨2.34% 葛洲坝涨7.45%	正面
生意社：汽油价格上行 MTBE价格继续跟涨	正面
股票简称：亿华通 股票代码：688339北京亿华通科技股份有限公司首次公开发行股票科创板上市公告书	中性
1200万“被贷款”事件最新进展 银行、企业等各方都有正面回应	负面
黄山旅游：2019年净利润同比下降41.6% 拟10派1.09元	负面
股海导航 6月4日沪深股市公告提示	中性
中国广电家底曝光：总资产147亿元，已连亏两年	负面
新疆火炬：九鼎投资减持数过半 累计减持1%股份	负面
穿透股东名称竟存重大差错，确成硅化信披质量尴尬	负面
宇通客车(600066.SH)7月销售量3176辆 同比下降58.84%	负面
保险股领衔 大金融逆势走强！还能借“基”上车吗？该怎么选？	正面
盘后公告集锦|英科医疗预计上半年净利润同比上涨超25倍	正面
【龙虎榜】 宁波联合 04月29日成交明细	中性
多地力挺旅游消费 业内人士：完全恢复需要时间和信心	中性
楚天高速年报：计提5.46亿商誉减值准备 2019年扣非净利润同比减少82.48%	负面
REITs联盟秘书长王刚：REITs投资有N条赛道	中性
皖通高速捐赠500万元驰援抗疫	中性
中原高速2019年上半年净利8.59亿 车流量增加	正面
几度澄清合并传闻 中信建投、中信证券携手下跌	负面
日照，一个房价神奇的城市！	中性
湖北楚天智能交通股份有限公司	中性
东风集团旗下一融资租赁公司人事变更 马华接替乔阳出任董事长	中性
日照港与山东港湾建设集团有限公司签署施工合同 合同金额3.23亿元	正面
中直股份(600038)2019年年报点评：直-20进入批产阶段，看好长期发展	正面
中国能建葛洲坝电力：白云山风电助力咸宁打赢经济发展战	中性
上海电力：长江电力增持公司1%股权	正面
早间公告|贵州茅台2019年净利增长17% 拟10派170.25元	正面
上海机场(600009.SH)5月旅客吞吐量按年减少近79%	负面
因同类事项多次信息披露不及时，四川路桥收上交所监管函	负面
中国国贸:2019年营收35.3亿 投资性物业经营良好	正面
“神券”没来,“神泥”“神广”先至,释放什么信号?	中性
山东钢铁股份有限公司关于回购股份比例达到1%暨回购进展公告	中性
首创股份上半年净利同比预增25%-35%	正面
史上首次！深交所连发紧急“预警”，两月爆买700亿后如何走？	中性
券商龙头真要合并？牛市旗手又掀涨停潮 四大牛市信号浮现	正面
浙江广厦股份有限公司关于回购股份比例达到3%暨回购进展公告	中性
